Date,Network,GSM Register Attempt,GPRS Register Attempt,GSM Register Success,GPRS Register Success,GSM Success Ratio (%),GPRS Success Ratio (%),GSM Avg Register Roamers,GPRS Avg Register Roamers,GSM Out of Total Roamer(%),GPRS Out of Total Roamer(%),Country
2014-02-18,SmarTone (HKG),16695,31839,15890,31584,0.9517819706498952,0.9919909544897767,1632,904,0.025281159959104006,0.034124797100902195,HONG KONG,
2014-02-18,Three (HKG),4506,3306,1043,2777,0.23146915224145584,0.8399879007864489,223,103,0.00345447222480404,0.0038881129440187234,HONG KONG,
2014-02-18,T-Mobile (HUN),155,536,155,536,1.0,1.0,23,14,3.562908572667844E-4,5.284813710316711E-4,HUNGARY,
2014-02-18,Telenor (HUN),64,79,61,77,0.953125,0.9746835443037974,10,5,1.5490906837686277E-4,1.887433467970254E-4,HUNGARY,
2014-02-18,Vodafone (HUN),180,178,44,164,0.24444444444444444,0.9213483146067416,20,22,3.0981813675372554E-4,8.304707259069118E-4,HUNGARY,
2014-02-18,Siminn,182,84,6,62,0.03296703296703297,0.7380952380952381,2,2,3.0981813675372557E-5,7.549733871881016E-5,ICELAND,
2014-02-18,Vodafone (ISL),16,112,16,112,1.0,1.0,3,1,4.6472720513058835E-5,3.774866935940508E-5,ICELAND,
2014-02-18,Aircel - Andhra Pradesh,33,3,33,0,1.0,0.0,25,0,3.8727267094215695E-4,0.0,INDIA,
2014-02-18,Aircel - Assam,38,0,0,0,0.0,0.0,0,0,0.0,0.0,INDIA,
2014-02-18,Aircel - Bihar,58,4,0,2,0.0,0.5,0,1,0.0,3.774866935940508E-5,INDIA,
2014-02-18,Aircel - Chennai,2220,1688,1987,1670,0.895045045045045,0.9893364928909952,515,128,0.007977817021408434,0.00483182967800385,INDIA,
2014-02-18,Aircel - Delhi,678,82,51,0,0.0752212389380531,0.0,33,1,5.111999256436472E-4,3.774866935940508E-5,INDIA,
2014-02-18,Aircel - Himachal Pradesh,10,2,0,0,0.0,0.0,0,0,0.0,0.0,INDIA,
2014-02-18,Aircel - Jammu&Kashmir,598,1,0,0,0.0,0.0,0,0,0.0,0.0,INDIA,
2014-02-18,Aircel - Karnataka,95,46,44,0,0.4631578947368421,0.0,28,1,4.3374539145521576E-4,3.774866935940508E-5,INDIA,
2014-02-18,Aircel - Kerala,3,1,3,0,1.0,0.0,2,0,3.0981813675372557E-5,0.0,INDIA,
2014-02-18,Aircel - Kolkata,120,24,9,2,0.075,0.08333333333333333,14,2,2.1687269572760788E-4,7.549733871881016E-5,INDIA,
2014-02-18,Aircel - Maharashtra,107,11,14,0,0.1308411214953271,0.0,4,0,6.196362735074511E-5,0.0,INDIA,
2014-02-18,Aircel - Mumbai,82,5,82,0,1.0,0.0,23,0,3.562908572667844E-4,0.0,INDIA,
2014-02-18,Aircel - North East,107,0,0,0,0.0,0.0,0,0,0.0,0.0,INDIA,
2014-02-18,Aircel - Orissa,22,51,22,51,1.0,1.0,13,6,2.013817888899216E-4,2.2649201615643048E-4,INDIA,
2014-02-18,Aircel - Tamil Nadu,28264,5811,2422,5140,0.08569204641947353,0.8845293409051799,970,251,0.015026179632555689,0.009474916009210676,INDIA,
2014-02-18,Aircel - UP East,93,21,0,8,0.0,0.38095238095238093,0,1,0.0,3.774866935940508E-5,INDIA,
2014-02-18,Aircel - West Bengal,221,13,14,13,0.06334841628959276,1.0,19,4,2.9432722991603927E-4,1.5099467743762032E-4,INDIA,
2014-02-18,Airtel - Andhra Pradesh,23372,3844,12,1,5.134348793428033E-4,2.6014568158168577E-4,7,1,1.0843634786380394E-4,3.774866935940508E-5,INDIA,
2014-02-18,Airtel - Chennai,39307,5991,12,0,3.052891342508968E-4,0.0,10,0,1.5490906837686277E-4,0.0,INDIA,
2014-02-18,Airtel - Delhi,47099,11019,8,15,1.6985498630544174E-4,0.001361285053090117,13,2,2.013817888899216E-4,7.549733871881016E-5,INDIA,
2014-02-18,Airtel - Gujarat,3291,285,1,0,3.0385900941962927E-4,0.0,0,0,0.0,0.0,INDIA,
2014-02-18,Airtel - Haryana,380,4,0,0,0.0,0.0,0,0,0.0,0.0,INDIA,
2014-02-18,Airtel - Himachal Pradesh,322,23,0,0,0.0,0.0,0,0,0.0,0.0,INDIA,
2014-02-18,Airtel - Karnataka,34863,9801,8,1,2.2946963829848264E-4,1.0203040506070809E-4,4,1,6.196362735074511E-5,3.774866935940508E-5,INDIA,
2014-02-18,Airtel - Kerala,2697,503,0,0,0.0,0.0,0,0,0.0,0.0,INDIA,
2014-02-18,Airtel - Kolkata,7300,999,0,0,0.0,0.0,0,0,0.0,0.0,INDIA,
2014-02-18,Airtel - Madhya Pradesh,169,9,0,0,0.0,0.0,2,0,3.0981813675372557E-5,0.0,INDIA,
2014-02-18,Airtel - Maharashtra/Goa,9220,5274,1,0,1.0845986984815618E-4,0.0,1,0,1.5490906837686278E-5,0.0,INDIA,
2014-02-18,Airtel - Mumbai,18969,3412,10,0,5.271759186040382E-4,0.0,4,1,6.196362735074511E-5,3.774866935940508E-5,INDIA,
2014-02-18,Airtel - Punjab,12895,1329,5,0,3.8774718883288094E-4,0.0,4,0,6.196362735074511E-5,0.0,INDIA,
2014-02-18,Airtel - Rajasthan,2494,388,0,0,0.0,0.0,0,0,0.0,0.0,INDIA,
2014-02-18,Airtel - Tamil Nadu,33489,2059,76,0,0.0022694018931589477,0.0,26,0,4.027635777798432E-4,0.0,INDIA,
2014-02-18,Airtel - UP West,2001,900,0,0,0.0,0.0,1,0,1.5490906837686278E-5,0.0,INDIA,
2014-02-18,BSNL - West Bengal,131,99,70,92,0.5343511450381679,0.9292929292929293,9,4,1.394181615391765E-4,1.5099467743762032E-4,INDIA,
2014-02-18,IDEA - Andhra Pradesh,506,123,301,72,0.5948616600790514,0.5853658536585366,224,3,0.003469963131641726,1.1324600807821524E-4,INDIA,
2014-02-18,IDEA - Bihar,49,2,0,0,0.0,0.0,0,0,0.0,0.0,INDIA,
2014-02-18,IDEA - Delhi,301,150,23,131,0.07641196013289037,0.8733333333333333,5,3,7.745453418843138E-5,1.1324600807821524E-4,INDIA,
2014-02-18,IDEA - Gujarat,318,317,134,278,0.42138364779874216,0.8769716088328076,70,9,0.0010843634786380394,3.397380242346457E-4,INDIA,
2014-02-18,IDEA - Haryana,187,7,0,0,0.0,0.0,0,0,0.0,0.0,INDIA,
2014-02-18,IDEA - Himachal Pradesh,5,0,0,0,0.0,0.0,0,0,0.0,0.0,INDIA,
